FighterName,ImageLink
Dustin Stoltzfus,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/STOLTZFUS_DUSTIN_L_12-02.png?itok=QmDO1-1L
Mike Malott,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/MALOTT_MIKE_L_11-02.png?itok=JDv7KmoU
Trevin Giles,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/GILES_TREVIN_L_02-10.png?itok=Kz_Qchno
Aiemann Zahabi,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ZAHABI_AIEMANN_L_11-02.png?itok=uSc51NH5
Pedro Munhoz,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/MUNHOZ_PEDRO_L_03-09.png?itok=0l14dtxt
Charles Jourdain,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/JOURDAIN_CHARLES_L_11-02.png?itok=a8hK7VcR
Victor Henry,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/HENRY_VICTOR_L_04-27.png?itok=0cvJtj1u
Jack Shore,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/SHORE_JACK_L_11-02.png?itok=uuMPXuF6
Youssef Zalal,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/ZALAL_YOUSSEF_L_08-10.png?itok=uxWBvrql
Alexandr Romanov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ROMANOV_ALEXANDR_L_11-02.png?itok=E1jTRluH
Rodrigo Nascimento,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NASCIMENTO_RODRIGO_L_05-11.png?itok=LLy25Mi_
Serhiy Sidey,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/SIDEY_SERHIY_L_11-02.png?itok=B_KYO66l
Garrett Armfield,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-01/ARMFIELD_GARRETT_L_08-26.png?itok=2V-CpftP
Chad Anheliger,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ANHELIGER_CHAD_L_11-02.png?itok=3bOdgVPP
Cody Gibson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-07/GIBSON_CODY_L_03-23.png?itok=IUMFJ8bc
Jamey-Lyn Horth,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/HORTH_JAMEY-LYN_L_11-02.png?itok=Ywlw_e0O
Ivana Petrovic,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/PETROVIC_IVANA_L_04-27.png?itok=O_jrgtYB
Ilia Topuria,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/TOPURIA_ILIA_L_BELT_10-26.png?itok=MvI4bGIl
Max Holloway,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/HOLLOWAY_MAX_L_04-13.png?itok=U9IB8OUQ
Robert Whittaker,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/WHITTAKER_ROBERT_L_10-26.png?itok=DaJBUSMN
Khamzat Chimaev,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/71660%252Fprofile-galery%252Ffullbodyleft-picture%252FCHIMAEV_KHAMZAT_L_10-30.png?itok=V9OsChbC
Magomed Ankalaev,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ANKALAEV_MAGOMED_L_10-26.png?itok=J9RN-0Fc
Aleksandar Rakic,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/RAKIC_ALEKSANDAR_L_10-26.png?itok=A23XTWwc
Lerone Murphy,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/MURPHY_LERONE_L_10-26.png?itok=2H5Fop9_
Dan Ige,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/IGE_DAN_L_10-26.png?itok=Zu8rUz4F
Shara Magomedov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/MAGOMEDOV_SHARA_L_10-26.png?itok=g5Uu5DJo
Armen Petrosyan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/PETROSYAN_ARMEN_L_10-26.png?itok=JMVOTu80
Ibo Aslan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ASLAN_IBO_L_10-26.png?itok=7CaowH9c
Rafael Cerqueira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/CERQUEIRA_RAFAEL_L_10-26.png?itok=4p14l_yS
Geoff Neal,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NEAL_GEOFF_L_10-26.png?itok=ArU3ewqF
Mateusz Rebecki,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/REBECKI_MATEUSZ_L_10-26.png?itok=BrxF6i4k
Myktybek Orolbai,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/OROLBAI_MYKTYBEK_L_11-18.png?itok=SSUFQ4BQ
Abus Magomedov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/MAGOMEDOV_ABUS_L_10-26.png?itok=N2PzwXYb
Brunno Ferreira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/4/FERREIRA_BRUNNO_L_06-08.png?itok=c5PcPy8u
Kennedy Nzechukwu,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/NZECHUKWU_KENNEDY_L_12-07.png?itok=m71eatdY
Chris Barnett,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/BARNETT_CHRIS_L_09-10.png?itok=n18pcWdc
Farid Basharat,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/BASHARAT_FARID_L_10-26.png?itok=uVXr6WDD
Victor Hugo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/HUGO_VICTOR_L_11-04.png?itok=kCEBBfWC
Ismail Naurdiev,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NAURDIEV_ISMAIL_L_10-26.png?itok=cAZ2Z_2o
Bruno Silva,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/SILVA_BRUNO_L_03-11.png?itok=WY26ww0a
Rinat Fakhretdinov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FAKHRETDINOV_RINAT_L_10-26.png?itok=QjPwRMwr
Carlos Leal,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/LEAL_CARLOS_L_10-26.png?itok=0pkHQKGL
Anthony Hernandez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/15/HERNANDEZ_ANTHONY_L_10-19.png?itok=biwsciNP
Michel Pereira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/PEREIRA_MICHEL_L_10-19.png?itok=IgzP-YkC
Rob Font,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/15/FONT_ROB_L_10-19.png?itok=2mzqwB_E
Kyler Phillips,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/PHILLIPS_KYLER_L_10-19.png?itok=fzVFXf59
